old,new
AAH150,AAHF40
ABA600,ABAF01
ABV610,ABVA01
ABV620,ABVA05
ADP600,VBEF20
AEB010,AEBF25
AEB020,AEBF30
AFO025,AFOF25
AFO065,AFON35
AFO165,AFOA30
ASB060,ASBN50
BLT015,BLTF01
EDA011,EDAA50
EDA017,EDAA55
EDA031,EDAF50
EDA040,EDAF55
EDA061,EDAF60
EDA070,EDAA60
EDA095,EDAF65
EDA132,EDAF70
EDA216,EDAF75
EDA221,EDAF80
EDA230,EDAN75
EDA270,EDAN80
EDA385,EDAN85
EDA501,EDAA65
EDA625,EITF55
EDA698,EDAF85
EDI610,EITA15
EDT621,EITF60
EDT632,EITA20
EDT655,MAMF40
EEM007,BMEF05
EEM031,BMEF10
EEM045,BMEF15
EIE061,EIEN30
EIT020,EITF65
EIT060,EITA25
EIT070,EITF70
EIT100,EITA30
ESS010,EITA35
ESS030,ESSF20
ESS040,EITF75
ESS050,EITF80
ETE055,EITF85
ETE115,EITF90
ETE604,EITA40
ETI125,EITA45
ETI265,EITA50
ETS061,EITN95
ETS075,EITF95
ETS130,EITA55
ETS170,ETSN15
ETS200,ETSN20
ETS302,EITA60
ETS601,EITG01
ETS672,ETSF30
ETT051,EITG05
FAF080,FAFN25
FAF085,FAFN30
FAF150,FAFN35
FAF260,FAFA80
FAF604,FAFA85
FBR012,FBRF01
FBR024,FBRN01
FFF021,FFFN30
FFF042,FFFN35
FFF051,EXTP90
FFF110,FFFF10
FFF115,EITP01
FFF160,EITP05
FHL013,FHLF15
FHL055,FHLA05
FHL064,FHLF20
FHL066,FHLN20
FHL090,FHLN25
FHL105,FHLA10
FKF070,FKFN30
FKF100,FKFN35
FKM015,FKMA01
FKM050,FKMA05
FKM070,FKMN20
FKM090,FMEN30
FMA021,FMAN55
FMA051,FMAN60
FMA085,FMAA30
FMA111,FMAN65
FMA120,FMAN70
FMA240,FMAF35
FMA250,FMAN75
FMA260,FMAN80
FMA270,FMAN85
FMA420,FMAB20
FMA430,FMAB30
FMA435,FMAB35
FMA645,FMAA50
FMA656,FMAA55
FME602,VSMA20
FMF061,FMFF30
FMF121,FMFN15
FMF150,FMFN20
FMF170,FMFF35
FMI031,FMIF50
FMI040,FMIN20
FMI050,FMIN25
FMI055,FMIN30
FMI070,FMIN35
FMI085,FMIN40
FMN011,FMNF05
FMN050,FMNF10
FMN100,FMNN35
FMN140,FMNF15
FMS012,FMSF45
FMS032,FMSF50
FMS035,FMSF55
FMS051,FMSN45
FMS065,FMSF60
FMS072,FMSF65
FMS086,FMSF70
FMS091,FMSN50
FMS140,FMSF75
FMS155,FMSN55
FMS161,FMSN60
FRT010,FRTF05
FRT041,FRTN35
FRT090,FRTN40
FRT095,FRTN45
FRT110,FRTF10
FRT130,FRTF15
FRT602,EIEF30
IDE015,IDEB01
IDE025,IDEB05
IDE051,IDEN55
IDE175,IDEF40
KAK050,KASN05
KBK011,KBKA10
KBK031,KBKN01
KBK041,KBKF01
KBK050,KBKN05
KBK070,KBKF05
KBK075,KBKN10
KBT042,KBTN10
KBT080,KBTF10
KBT115,KBTF15
KET030,KETF30
KET050,KETN25
KFK032,KFKN10
KII010,KIIF01
KIM015,KIMN01
KLG027,KLGN35
KLT051,KLTF01
KLT065,KLTF05
KMB023,KMBF05
KMB031,KMBF10
KMB040,KMBN05
KMB060,KMBA01
KOK032,KASF01
KOO022,KASA10
KOO045,KASN10
KOO052,KASF05
KOO065,KASN15
KOO095,KASF10
KOO105,KASF15
KPO010,KASN20
KTE071,KETN30
KTE080,KASN25
KTE131,KETF35
KTE170,KETF40
MAM032,MAMN40
MAM090,MAMN45
MAM101,MAMF45
MAM120,MAMF50
MAM242,MAMF55
MIE012,EIEF35
MIE041,EIEF40
MIE080,EIEF45
MIE090,EIEN35
MIE100,EIEN40
MIO012,MIOA12
MIO022,MIOF20
MIO040,MIOF25
MIO310,MIOF30
MME070,MMEN01
MME080,MMEN05
MMK010,MMKA25
MMK070,MMKF35
MMK101,MMKN60
MMK126,MMKF40
MMK150,MMKN65
MMT012,MMTF20
MMT015,MMTN20
MMT031,MMTN25
MMT045,MMTN30
MMT125,MMTN35
MMT160,MMTF25
MMT220,MMTN40
MMV031,MMVF05
MMV211,MMVF10
MTT045,MTTN70
MTT115,MTTN75
MTT240,MTTN80
MVK051,MVKN75
MVK115,MVKN80
MVK135,MVKN85
MVK140,MVKN90
TEK015,EXTG50
TEK035,EXTQ10
TEK097,EXTQ15
TEK103,EXTQ25
TEK110,EXTQ30
TEK140,EXTG60
TEK171,EXTP85
TEK177,EXTP95
TEK180,EXTQ35
TEK190,EXTG65
TEK210,EXTA65
TEK230,EXTQ05
TEK255,EXTG70
TEK267,EXTQ01
TEK280,EXTG45
TEK287,EXTG55
TEK292,EXTQ20
TEK295,EXTA70
TNX097,TNSF05
VBE675,VBEF25
VBE680,VBEF30
VBE685,VBEF35
VBE690,VBEF40
VBF605,VBFF10
VBF630,VBFA10
VBK013,VBKF15
VBM012,VBMA30
VBM611,VBMA35
VBR110,VRSN30
VBR240,VBRA15
VFR120,VFTN40
VFR140,VFTA05
VFR180,VFTN45
VFR601,VTVA60
VFT015,VFTN50
VGM630,VGMA05
VSM010,VSMA25
VVA030,VVAN05
VVA910,VVAN10
VVA920,VVAN15
VVB645,VTVG01
VVR040,VVRN30
VVR090,VVRN35
VVR111,VVRA01
VVR120,VVRF10
VVR145,VVRA05
VVR176,VVRN40
